id,politician_id,name,details,promise_date,status,createdAt,updatedAt
1,69000001,แก้ไขกฎหมายมาตรา 112,จะผลักดันให้มีการปฏิรูปกฎหมายหมิ่นพระบรมเดชานุภาพ โดยให้สมเด็จพระจักรพรรดิมีสิทธิฟ้องร้องเองหรือโจทก์คือพระมหากษัตริย์เท่านั้น,2023-04-10T00:00:00.000Z,เงียบหาย,2023-04-10T08:00:00.000Z,2024-12-01T10:30:00.000Z
2,69000002,ทลายผูกขาดธุรกิจเอกชน,ทลายธุรกิจผูกขาดในหลายอุตสาหกรรม เช่น แอลกอฮอล์ โทรคมนาคม และพลังงาน เพื่อสร้างการแข่งขันที่เป็นธรรม,2023-04-10T00:00:00.000Z,เงียบหาย,2023-04-10T08:30:00.000Z,2024-11-15T14:20:00.000Z
3,69000002,ค่าแรงขั้นต่ำ 450 บาท,ปรับขึ้นค่าแรงขั้นต่ำเป็น 450 บาทต่อวันทั่วประเทศ และมีกลไกปรับตามค่าครองชีพทุกปี,2023-04-10T00:00:00.000Z,ยังไม่เริ่ม,2023-04-10T09:00:00.000Z,2023-04-10T09:00:00.000Z
4,69000003,กระเป๋าดิจิทัลเงิน 10000 บาท,แจกเงินดิจิทัล 10000 บาทให้คนไทยอายุ 16 ปีขึ้นไป โดยใช้จ่ายได้เฉพาะในชุมชนและมีระยะเวลา 6 เดือน เพื่อกระตุ้นเศรษฐกิจฐานราก,2023-05-02T00:00:00.000Z,เงียบหาย,2023-05-02T10:00:00.000Z,2026-02-07T08:38:13.206Z
5,69000003,ลดค่าครองชีพ,ลดค่าครองชีพผ่านการควบคุมราคาน้ำมัน ค่าไฟฟ้า และสินค้าอุปโภคบริโภคที่จำเป็น เพื่อช่วยเหลือประชาชนในภาวะเศรษฐกิจชะลอตัว,2023-05-02T00:00:00.000Z,กำลังดำเนินการ,2023-05-02T10:30:00.000Z,2024-01-30T11:20:00.000Z
6,69000003,เพิ่มเงินเดือนครูและบุคลากรทางการศึกษา,ปรับขึ้นเงินเดือนและสวัสดิการครู อาจารย์ และบุคลากรทางการศึกษา พร้อมปรับปรุงระบบการศึกษาให้ทันสมัย,2023-05-02T00:00:00.000Z,กำลังดำเนินการ,2023-05-02T11:00:00.000Z,2026-02-07T09:17:06.882Z
7,69000003,กัญชาถูกกฎหมาย,ผลักดันให้การปลูกและใช้กัญชาทางการแพทย์และอุตสาหกรรมเป็นไปอย่างถูกกฎหมาย มีระเบียบที่ชัดเจน เพื่อสร้างรายได้ให้เกษตรกร,2023-03-25T00:00:00.000Z,กำลังดำเนินการ,2023-03-25T09:00:00.000Z,2024-01-20T09:15:00.000Z
8,69000003,เงินอุดหนุนเกษตรกร,จ่ายเงินอุดหนุนรายได้แก่เกษตรกรที่ปลูกพืชเศรษฐกิจหลัก เช่น ข้าว อ้อย มันสำปะหลัง เพื่อสนับสนุนต้นทุนการผลิต,2023-03-25T00:00:00.000Z,กำลังดำเนินการ,2023-03-25T09:30:00.000Z,2023-11-10T13:30:00.000Z
9,69000004,ขยายสวัสดิการผู้สูงอายุและเด็ก,เพิ่มเงินสวัสดิการผู้สูงอายุและจัดตั้งศูนย์ดูแลเด็กในชุมชนเพื่อช่วยเหลือผู้ปกครองที่ต้องทำงาน,2023-04-15T00:00:00.000Z,กำลังดำเนินการ,2023-04-15T08:00:00.000Z,2023-12-01T15:00:00.000Z
10,69000004,พัฒนาระบบขนส่งสาธารณะ,เพิ่มเส้นทางรถเมล์และรถไฟฟ้า ลดค่าโดยสารให้เข้าถึงได้ทุกระดับรายได้ เพื่อแก้ปัญหาการจราจร,2023-04-15T00:00:00.000Z,ยังไม่เริ่ม,2023-04-15T08:30:00.000Z,2023-04-15T08:30:00.000Z
11,69000005,ส่งเสริมการท่องเที่ยวเชิงคุณภาพ,พัฒนาแหล่งท่องเที่ยวและโครงสร้างพื้นฐาน เพื่อดึงดูดนักท่องเที่ยวคุณภาพสูงและสร้างรายได้ให้ชุมชนท้องถิ่น,2023-02-20T00:00:00.000Z,กำลังดำเนินการ,2023-02-20T10:00:00.000Z,2023-10-30T12:00:00.000Z
12,69000005,พัฒนาระบบสาธารณสุข,เสริมสร้างระบบสาธารณสุขให้แข็งแกร่ง เพิ่มบุคลากรและอุปกรณ์การแพทย์ในโรงพยาบาลชุมชน,2023-02-20T00:00:00.000Z,กำลังดำเนินการ,2023-02-20T10:30:00.000Z,2024-01-15T14:00:00.000Z
13,69000006,คืนชีพไดโนเสาร์,รักษาความสงบเรียบร้อยของประเทศ ป้องกันความขัดแย้งทางการเมือง และสร้างเอกภาพของคนในชาติ,2023-03-10T00:00:00.000Z,กำลังดำเนินการ,2023-03-10T09:00:00.000Z,2023-11-25T10:00:00.000Z
14,69000006,โครงสร้างพื้นฐานและคมนาคม,พัฒนาโครงสร้างพื้นฐาน ถนน สะพาน และระบบคมนาคมในทุกภูมิภาค เพื่อเชื่อมโยงเศรษฐกิจ,2023-03-10T00:00:00.000Z,ยังไม่เริ่ม,2023-03-10T09:30:00.000Z,2023-03-10T09:30:00.000Z